|Mortal Fea!|	|Greg Iles|
|Pratham Pratishruti|	|Ashapurna Devi|
|Devdas|	|Sharat Chandra Chatterjee|
|Small Remedies|	|Shashi Deshpande|
|India–From Midnight to the Millennium|	|Shashi Tharoor|
|Friends and Foes|	|Sheikh Mujibur Rehman|
|Gulistan Bostan|	|Sheikh Saadi|
|Canvas of Life|	|Sheila Gujral|
|Iran Awakening–A Memoir of Revolution and Hope|	|Shirin Ebadi|
|Neela Chand|	|Shiv Prasad Singh|
|Mrityunjaya|	|Shivaji Sawant|
|Socialite Evenings|	|Shobhaa De|
|Speed Post|	|Shobhaa De|
|Spouse|	|Shobhaa De|
|Starry Nights|	|Shobhaa De|
|Sultry Days|	|Shobhaa De|
|Surviving Men|	|Shobhaa De|
|Mrichchhakatikam|	|Shudraka|
|Saddam's Bomb|	|Shyam Bhatia and Daniel McGrory|
|Sands of Time|	|Sidney Sheldon|
|Rape of Nanking (Nanjing)–An Undeniable History of Photographs|	|SIll Young|
|Living History–An Autobiography of Hillary Rodham Clinton|	|Simon & Schuster|
|Main Street|	|Sinclair Lewis|
|Adventures of Sherlock Holmes|	|Sir Arthur Conan Doyle|
|Poison Belt|	|Sir Arthur Conan Doyle|
|Tales of Sherlock Holmes|	|Sir Arthur Conan Doyle|
|Ascent of the Everest|	|Sir John Hunt|
|India in Slow Motion|	|Sir Mark Tully|
|Arabian Nights|	|Sir Richard Burton|
|Book of the Sword|	|Sir Richard Burton|
|City of Saints|	|Sir Richard Burton|
|Nile Basin|	|Sir Richard Burton|
|Ivanhoe|	|Sir Walter Scott|
|Kenilworth|	|Sir Walter Scott|
|Lady of the Lake|	|Sir Walter Scott|
|Talisman|	|Sir Walter Scott|
|Beyond Modernisation, Beyond Self|	|Sisir Kumar Ghose|
|The Afghan Turmoil–Changing Equations|	|Sreedhar & Mahendra Dev|
|One World to Share|	|Sridath Ramphal|
|A Tryst With Destiny|	|Stanley Wolfer|
|Red and Black|	|Stendhal|
|A Brief History of Time|	|Stephen Hawking|
|Black Holes and Baby Universes|	|Stephen Hawking|
|Cell|	|Stephen King|
|Out of My Comfort Zone|	|Steve Waugh|
|Engaging India–Diplomacy, Democracy & the Bomb|	|Strobe Talbott|
|India's China Perspective|	|Subramanian Swamy|
|O is for Outlaw|	|Sue Grafion|
|Modern South Asia–History, Culture, Political Economy|	|Sugata Bose & Ayesha Jalal|
|Maximum City|	|Suketu Mehta|
|A Sin of Colour|	|Sunetra Gupta|
|Idols|	|Sunil Gavaskar|
|Sunny Days|	|Sunil Gavaskar|
|Single in the City–The Independent Woman's Handbook|	|Sunny Singh|
|Mrs. De Winter|	|Susan Hill|
|After All These Years|	|Susan Issacs|
|Something Barely Remembered|	|Susan Visvanathan|
|Long Shadow–Inside Stalin's Family|	|Svetlana Allilyuyeva|
|Satyartha Prakash|	|Swami Dayanand|
|Divine Life|	|Swami Sivananda|
|Beyond Boundaries-A Memoire|	|Swraj Paul|
|Rage of Angels|	|Sydney Sheldon|
|Murder in the Cathedral|	|T. S. Eliot|
|The Cocktail Party|	|T. S. Eliot|
|The Confidential Clerk|	|T. S. Eliot|
|Pulsating Presence of a Painful Past|	|Taisha Abraham|
|Dust to Dust|	|Tami Hoag|
|Perceptions, Emotions Sensibilities|	|Tapan Raychaudhuri|
|Ganadevata|	|Tara Shankar Bandopadhyaya|
|Freedom Behind Bars|	|Tarsem Kumar|
|The Alchemy of Desire|	|Tarun J. Tejpal|
|Koraner Nari|	|Taslima Nasreen|
|Lajja|	|Taslima Nasreen|
|Nirbashita Narir Kabita|	|Taslima Nasreen|
|Prospects for Democracy in Asia|	|Tatu Vanhanen|
|Kashmir–A Tragedy of Errors|	|Tavleen Singh|
|India Changes|	|Taya Zinkin|
|Disappearing Acts|	|Terry McMillan|
|Mama|	|Terry McMillan|
|Fifth Elephant|	|Terry Pratchett|
|Chemmeen|	|Thakazhi Sivasankara Pillai|
|India Betrayed|	|The Role of Nehru : B. N. Sharma|
|An American Tragedy|	|Theodore Dreiser|
|A Personal Adventure|	|Theodore H. White|
|Old Path–White Clouds|	|Thich Nht Hanh|
|Summa Theologica|	|Thomas Aquinas|
|French Revolution|	|Thomas Carlyle|
|Heroes and tIero Worship|	|Thomas Carlyle|
|Past and Present|	|Thomas Carlyle|
|Reminiscences|	|Thomas Carlyle|
|The Confessions of an English Opium Eater|	|Thomas De Quincy|
|Churchyard|	|Thomas Gray|
|A Pair of Blue Eyes|	|Thomas Hardy|
|Far From the Madding Crowd|	|Thomas Hardy|
|Tess of D'Urbervilles|	|Thomas Hardy|
|Hannibal|	|Thomas Harris|
|Leviathan|	|Thomas Hobbes|
|Schindler's List|	|Thomas Keneally|
|Death in Venice|	|Thomas Maim|
|Common Sense|	|Thomas Paine|
|Rights of Man|	|Thomas Paine|
|Men Who Kept the Secrets|	|Thomas Powers|
|Europa|	|Time Parks|
|War and Piece|	|Tolstoy|
|Every Man a Tiger|	|Tom Clancy|
|Line of Control|	|Tom Clancy & Steve Pieceznik|
|Santa Evita|	|Tomas Eloymartinez|
|Kaleidoscope of India|	|Tomoji Muto|
|Beloved|	|Toni Morrison|
|In the Bluest Eye|	|Toni Morrison|
|Jazz|	|Toni Morrison|
|Song of Solomon|	|Toni Morrison|
|Sula|	|Toni Morrison|
|Tar Baby|	|Toni Morrison|
|Ram Charita Manas|	|Twsidas|
|Dragon's Teeth|	|U. B. Sinclair|
|Nisheeth|	|Uma Shankar Joshi|
|Last Burden|	|Upamanyu Chatterjee|
|I Will Lie Down in Peace|	|Usha Jesudasan|
|Afghanistan & Asian Stability|	|V D. Chopra|
|India–A Wounded Civilisation|	|V S. Naipaul|
|Democracy Redeemed|	|V. K. Narsimhan|
|Food, Nutrition and Poverty in India|	|V. K. R. V. Rao|
|I Muse; Therefore I Am|	|V. N. Narayanan|
|Lolita|	|V. Nabokov|
|Laws Versus Justice|	|V. R. Krishna lyer|
|A Bend in the River|	|V. S. Naipaul|
|A Million Mutinies Now|	|V. S. Naipaul|
|An Area of Darkness|	|V. S. Naipaul|
|Beyond Belief|	|V. S. Naipaul|
|Half a Life|	|V. S. Naipaul|
|India–A Million Mutinies Now|	|V. S. Naipaul|
|Letters Between a Father and Son|	|V. S. Naipaul|
|Magic Seeds|	|V. S. Naipaul|
|Miguel Street|	|V. S. Naipaul|
|Jobs for Millions|	|V. V. Giri|
|My Life and Times|	|V. V. Giri|
|Stolen Harvest|	|Vandana Shiva|
|A Peep into the Past|	|Vasant Navrekar|
|Charisma & Cannon–Essays on the Religious History of Subcontinent|	|Vasudha Dalmia, Angelika Malinar and Marcin Christ|
|Portrait of India|	|Ved Mehta|
|Rahul Dravid–A Biography|	|Vedam Jaishankar|
|Les Miserables|	|Victor Hugo|
|Kashmir in the Crossfire|	|Victoria Shaffield|
|Devi–The Great Goddess|	|Vidya Dahejia|
|Pak Proxy War|	|Vijay Karan|
|Kanyadaan|	|Vijay Tendulkar|
|Sakharam Binder|	|Vijay Tendulkar|
|From Rajpath to Lokpath|	|Vijaya Raje Scindia|
|Ritu Ka Pehla Phool|	|Vijendra|
|Love and Longing in Bombay|	|Vikram Chandra|
|Sacred Games|	|Vikram Chandra|
|A Suitable Boy|	|Vikram Seth|
|An Equal Music|	|Vikram Seth|
|Arion and the Dolphin|	|Vikram Seth|
|Mudrarakshasa|	|Vishakhadatta|
|Panchatantra |	|Vishnu Sharma|
|A Last Leap South|	|Vladimir Zhirinovsky|
|Candide|	|Voltaire|
|Moon and Six Pence|	|W Somerset Maugham|
|Of Human Bondage|	|W Somerset Maugham|
|Painted Veil|	|W Somerset Maugham|
|Razor's Edge|	|W Somerset Maugham|
|Leaves of Grass|	|Walt Whitman|
|In the Stream of History–Shaping Foreign Policy for a New Era|	|Warren Christopher|
|One World|	|Wendell Wilkie|
|A View from Outside|	|Why Good Economics Works for Everybody : P. Chidambaram|
|Monsoon|	|Wilbur Smith|
|King Lear|	|Wilham Shakespeare|
|Angry Letters|	|Willem Doevenduin|
|Critical Mass|	|William E. Burrows|
|Flags in the Dust|	|William Faulkner|
|Go Down Moses|	|William Faulkner|
|Intruder in the Dust|	|William Faulkner|
|Sanctuary|	|William Faulkner|
|Double Tongue|	|William Golding|
|Lord of the Flies|	|William Golding|
|Spirit of the Age|	|William Hazlitt|
|Henry Esmond|	|William M. Thackeray|
|Death of a President|	|William Manchester|
|A Midsummer Night's Dream|	|William Shakespeare|
|All Is Well That Ends Well|	|William Shakespeare|
|Antony and Cleopatra|	|William Shakespeare|
|As You Like It|	|William Shakespeare|
|Comedy of Errors|	|William Shakespeare|
|Hamlet|	|William Shakespeare|
|Julius Caesar|	|William Shakespeare|
|Macbeth|	|William Shakespeare|
|Much Ado About Nothing|	|William Shakespeare|
|Othello|	|William Shakespeare|
|Romeo and Juliet|	|William Shakespeare|
|Prelude|	|William Wordsworth|
|An Admiral's Fall|	|Wilson John|
|Gathering Storm|	|Winston Churchill|
|The Changing Global Order|	|World Leaders Reflect : Nathan Gardels|
|My Father, Deng Xiaoping|	|Xiao Rong|
|Carnage By Angels|	|Y P. Singh|
|Life of Pi|	|Yann Martel|
|Confessions of a Swadeshi Reformer–My Years as Finance Minister|	|Yashwant Sinha|
|Snow Country|	|Yasunari Kawabata|
|Rediscovering Gandhi|	|Yogesh Chadha|
|Bin Laden–The Man Who Declared War on America|	|Yossef Bodansky|
|The Cinemas of India|	|Yves Thoraval|
|Great Tragedy|	|Z. A. Bhutto|
|If I Am Assassinated|	|Z. A. Bhutto|
|Glimpses of Indian Ocean|	|Z. A. Quasim|
